week_number,emailer_for_promotion,homepage_featured,num_orders,op_area,Meat,Other,Seafood,Vegetarian,beverage,dessert,main,side,starter,city_id,meal_id,base_price_normed,checkout_price_normed,price_diff,month_num,quarter_num,year_num,num_orders_last_year,num_orders_last_week,num_orders_rolling_4_weeks,num_orders_rolling_16_weeks,num_orders_last_year_rolling_4_weeks,num_orders_last_year_rolling_16_weeks
145,0,0,121,2.0,0,0,0,1,0,0,1,0,0,9,50,-1.2312672429759202,-1.2312672429759202,0.0,10,4,3,176.0,162.0,533.75,663.1875,81.0,121.5625
145,0,0,54,2.0,1,0,0,0,0,0,1,0,0,9,48,-1.2193799440694595,-1.213156227364506,-0.006223716704953475,10,4,3,258.0,190.0,536.75,664.0625,71.0,118.1875
145,0,0,135,2.0,1,0,0,0,0,0,1,0,0,9,37,-1.2071192221607012,-1.219566655570608,0.012447433409906727,10,4,3,175.0,122.0,536.5,665.0,78.25,72.1875
145,0,0,15,2.0,0,0,0,1,0,0,0,0,1,9,8,-0.38608651444326014,-0.38608651444326014,0.0,10,4,3,26.0,27.0,526.5,616.125,442.75,909.375
145,0,0,96,2.0,0,0,1,0,0,0,1,0,0,9,23,-1.170897190937873,-1.170897190937873,0.0,10,4,3,26.0,81.0,510.0,586.6875,64.75,88.875
145,0,0,68,2.0,1,0,0,0,0,0,0,0,1,9,18,-1.1952319232542403,-1.2014556399591938,0.006223716704953475,10,4,3,42.0,54.0,456.5,542.125,736.5,749.4375
145,0,0,189,2.0,1,0,0,0,0,0,1,0,0,9,38,-0.9897870348237315,-0.9897870348237315,0.0,10,4,3,189.0,190.0,479.75,547.9375,72.0,66.5
145,0,0,258,2.0,0,0,0,1,0,0,0,0,1,9,42,-1.0022344682336382,-0.9897870348237315,-0.012447433409906616,10,4,3,177.0,339.0,449.5,532.75,48.0,63.875
145,0,0,162,2.0,0,0,0,1,0,0,0,0,1,9,46,-0.7183085121536679,-0.7245322288586212,0.006223716704953364,10,4,3,296.0,204.0,422.25,522.5,51.5,65.625
145,0,0,42,2.0,0,0,0,1,0,0,0,0,1,9,31,0.21120357773110973,0.21742729443606304,-0.006223716704953308,10,4,3,177.0,136.0,483.0,498.875,51.25,78.0
145,0,0,96,2.0,1,0,0,0,0,0,1,0,0,9,32,0.16931796430677382,0.16309424760182048,0.006223716704953336,10,4,3,176.0,257.0,443.0,470.3125,54.0,77.125
145,0,0,204,2.0,0,0,1,0,0,0,1,0,0,9,34,0.19931627882464875,0.19309256211969544,0.006223716704953308,10,4,3,161.0,217.0,476.5,469.5625,192.5,265.4375
145,0,0,96,2.0,0,0,0,1,0,0,0,0,1,9,51,-0.3440141895177754,-0.3502379062227287,0.006223716704953308,10,4,3,419.0,243.0,598.5,516.125,41.0,0.0
145,0,0,366,2.0,1,0,0,0,0,0,1,0,0,9,43,0.6881269888316822,0.700574422241589,-0.012447433409906727,10,4,3,445.0,486.0,591.25,516.875,51.5,68.125
145,0,0,310,2.0,0,0,1,0,0,0,1,0,0,9,47,-0.2777938437770722,-0.2653464103671656,-0.012447433409906616,10,4,3,325.0,393.0,625.0,521.0625,23.75,24.0625
145,0,0,28,2.0,0,0,0,1,0,0,0,1,0,9,10,1.7747879255165313,1.7810116422214846,-0.006223716704953253,10,4,3,0.0,15.0,631.5,521.0,0.0,0.0
145,0,0,13,2.0,1,0,0,0,0,0,1,0,0,9,20,-0.21120007503407182,-0.21742379173902512,0.006223716704953308,10,4,3,0.0,13.0,523.0,513.4375,0.0,0.0
145,0,0,162,2.0,0,0,1,0,0,0,0,0,1,9,44,0.1572439538991644,0.15102023719421107,0.006223716704953336,10,4,3,217.0,283.0,472.25,500.75,26.5,45.0625
145,0,0,269,2.0,1,0,0,0,0,0,1,0,0,9,49,-0.22346079694282966,-0.22346079694282966,0.0,10,4,3,135.0,499.0,367.25,478.75,514.0,0.0
145,0,0,28,2.0,0,0,0,1,0,0,1,0,0,9,45,-0.060461656440102346,-0.048014223030195716,-0.01244743340990663,10,4,3,1972.0,148.0,451.75,502.3125,24.25,37.625
145,0,0,122,2.0,1,0,0,0,0,0,1,0,0,9,21,-1.0199720608427552,-1.0261957775477084,0.006223716704953253,10,4,3,109.0,41.0,519.5,515.8125,31.0,39.375
145,0,0,68,2.0,0,0,0,1,0,0,0,0,1,9,26,-0.7969762913042779,-0.7845288578943712,-0.012447433409906727,10,4,3,96.0,203.0,584.25,532.6875,169.25,0.0
145,0,0,393,2.0,0,1,0,0,0,1,0,0,0,9,25,-0.694160491338449,-1.219566655570608,0.5254061642321589,10,4,3,161.0,95.0,675.25,527.625,24.5,35.0625
145,0,0,41,2.0,0,0,0,1,0,0,0,0,1,9,30,1.304088231120912,1.2978645144159588,0.006223716704953253,10,4,3,379.0,163.0,608.0,541.9375,24.0,33.3125
145,0,0,80,2.0,0,0,0,1,0,0,0,1,0,9,35,1.304088231120912,1.2978645144159588,0.006223716704953253,10,4,3,501.0,150.0,611.0,563.0,17.25,32.5
145,0,0,149,2.0,0,1,0,0,0,1,0,0,0,9,36,1.3103119478258654,1.304088231120912,0.006223716704953253,10,4,3,487.0,215.0,553.5,550.3125,171.75,0.0
145,0,0,26,2.0,0,1,0,0,1,0,0,0,0,9,19,2.324342110563909,2.324342110563909,0.0,10,4,3,15.0,95.0,577.5,561.25,303.75,286.3125
145,0,0,15,2.0,0,1,0,0,1,0,0,0,0,9,16,2.324342110563909,2.324342110563909,0.0,10,4,3,54.0,109.0,570.75,565.5,47.75,45.0
145,0,0,42,2.0,1,0,0,0,0,0,1,0,0,9,28,-0.21742379173902512,-0.21742379173902512,0.0,10,4,3,40.0,53.0,581.0,558.625,256.5,287.0625
145,0,0,27,2.0,0,1,0,0,0,0,0,0,1,9,13,0.20516657252730486,0.21139028923225817,-0.006223716704953308,10,4,3,54.0,28.0,783.5,598.375,401.5,454.25
145,0,0,26,2.0,1,0,0,0,0,0,1,0,0,9,17,0.8150908096127297,0.8088670929077765,0.006223716704953253,10,4,3,13.0,13.0,1080.75,675.1875,151.25,179.9375
145,0,0,14,2.0,0,1,0,0,0,1,0,0,0,9,15,0.8150908096127297,0.8213145263176831,-0.006223716704953364,10,4,3,15.0,26.0,1313.25,735.9375,20.75,29.0625
145,0,0,230,2.0,1,0,0,0,0,0,1,0,0,9,41,-0.2896811426835332,-0.6037921247825269,0.3141109820989937,10,4,3,420.0,148.0,1374.5,771.5,54.5,0.0
145,0,0,148,2.0,0,1,0,0,0,1,0,0,0,9,39,-0.28345742597857987,-0.694160491338449,0.41070306535986917,10,4,3,41.0,162.0,1198.5,779.9375,77.75,0.0
145,0,0,134,2.0,1,0,0,0,0,0,1,0,0,9,40,-0.39853394785316676,-0.39231023114821345,-0.006223716704953308,10,4,3,161.0,202.0,874.5,802.0,134.5,236.125
145,0,0,1621,3.7,0,0,0,1,0,0,1,0,0,70,50,-1.2193799440694595,-1.2256036607744127,0.006223716704953253,10,4,3,2186.0,1621.0,632.0,781.0,158.0,242.9375
145,0,0,203,3.7,1,0,0,0,0,0,1,0,0,70,48,-1.2256036607744127,-1.2256036607744127,0.0,10,4,3,879.0,971.0,669.0,808.875,81.75,0.0
145,0,0,447,3.7,1,0,0,0,0,0,1,0,0,70,37,-1.219566655570608,-1.2071192221607012,-0.012447433409906727,10,4,3,836.0,352.0,844.75,845.0625,75.25,0.0
145,0,0,122,3.7,0,0,0,1,0,0,0,0,1,70,8,-0.40419753005467407,-0.4104212467596274,0.006223716704953308,10,4,3,53.0,94.0,1020.25,888.25,0.0,0.0
145,0,0,69,3.7,0,0,1,0,0,0,1,0,0,70,23,-1.1833446243477797,-1.1833446243477797,0.0,10,4,3,202.0,53.0,1081.0,899.25,85.0,0.0
145,0,0,82,3.7,1,0,0,0,0,0,0,0,1,70,18,-1.1771209076428264,-1.1771209076428264,0.0,10,4,3,96.0,54.0,1013.25,909.4375,24.75,32.4375
145,0,0,769,3.7,1,0,0,0,0,0,1,0,0,70,38,-1.0743051076769976,-1.0867525410869043,0.012447433409906727,10,4,3,837.0,879.0,1091.25,979.5,95.0,67.25
145,0,0,728,3.7,0,0,0,1,0,0,0,0,1,70,42,-1.0988265514945137,-1.086379118084607,-0.012447433409906727,10,4,3,1095.0,797.0,1080.75,1014.0625,144.5,213.5625
145,0,0,1202,3.7,0,0,0,1,0,0,0,0,1,70,46,-0.7303825225612773,-0.724158805856324,-0.006223716704953364,10,4,3,1904.0,1133.0,1191.5,1054.4375,161.5,200.9375
145,0,0,188,3.7,0,0,0,1,0,0,0,0,1,70,31,0.13272251008164834,0.14516994349155496,-0.012447433409906616,10,4,3,202.0,96.0,1255.5,1078.0625,235.75,189.0625
145,0,0,136,3.7,1,0,0,0,0,0,1,0,0,70,32,0.06650216434094515,0.07272588104589847,-0.006223716704953322,10,4,3,190.0,175.0,995.0,1032.375,314.0,189.125
145,0,0,229,3.7,0,0,1,0,0,0,1,0,0,70,34,0.09668719035996887,0.09046347365501556,0.006223716704953308,10,4,3,256.0,135.0,846.75,955.5625,132.25,96.6875
145,0,0,566,3.7,0,0,0,1,0,0,0,0,1,70,51,-0.4345692675748462,-0.4283455508698929,-0.006223716704953308,10,4,3,2213.0,1121.0,688.5,898.25,148.75,100.0
145,0,0,567,3.7,1,0,0,0,0,0,1,0,0,70,43,0.6943507055366356,0.6881269888316822,0.006223716704953364,10,4,3,863.0,554.0,594.5,883.0625,118.25,100.0
145,0,0,998,3.7,0,0,1,0,0,0,1,0,0,70,47,-0.5070133300205028,-0.513237046725456,0.006223716704953253,10,4,3,771.0,986.0,577.75,877.1875,132.75,183.5
145,0,0,81,3.7,0,1,0,0,1,0,0,0,0,70,6,1.7810116422214846,1.7747879255165313,0.006223716704953253,10,4,3,149.0,67.0,597.5,886.3125,98.25,105.9375
145,0,0,27,3.7,1,0,0,0,0,0,1,0,0,70,20,-0.2049763583291185,-0.21742379173902512,0.012447433409906616,10,4,3,285.0,107.0,600.5,890.375,37.25,141.1875
145,0,0,67,3.7,0,1,0,0,0,0,0,0,1,70,33,-0.21120007503407182,-0.21120007503407182,0.0,10,4,3,339.0,123.0,819.5,920.6875,81.5,168.3125
145,0,1,68,3.7,0,0,0,1,0,0,0,0,1,70,27,-0.2049763583291185,-0.2049763583291185,0.0,10,4,3,122.0,123.0,1059.0,930.75,122.5,116.0625
145,1,0,107,3.7,0,0,0,1,0,0,0,1,0,70,11,-0.10234726986443828,-0.6943472028395976,0.5919999329751593,10,4,3,42.0,55.0,1119.75,911.1875,17.0,18.0625
145,0,0,109,3.7,0,1,0,0,0,0,0,0,1,70,12,0.5072035442186894,0.5072035442186894,0.0,10,4,3,122.0,177.0,1093.0,893.375,108.25,163.1875
145,0,0,15,3.7,1,0,0,0,0,0,1,0,0,70,14,0.8213145263176831,0.8213145263176831,0.0,10,4,3,82.0,15.0,813.0,870.625,125.0,120.1875
145,0,0,432,3.7,0,0,1,0,0,0,0,0,1,70,44,0.07235245804360126,0.07235245804360126,0.0,10,4,3,635.0,472.0,674.75,826.625,33.5,29.5
145,0,0,809,3.7,1,0,0,0,0,0,1,0,0,70,49,-0.24119838955194675,-0.24742210625690006,0.006223716704953308,10,4,3,445.0,783.0,624.25,797.0625,105.25,157.5625
145,0,0,177,3.7,0,0,0,1,0,0,1,0,0,70,45,-0.060461656440102346,-0.060461656440102346,0.0,10,4,3,405.0,323.0,634.5,754.125,115.0,118.4375
145,0,0,27,3.7,0,0,0,1,0,0,0,1,0,70,3,0.5673868847555881,0.5736106014605414,-0.006223716704953364,10,4,3,14.0,42.0,728.75,738.9375,14.5,0.0
145,0,0,13,3.7,0,1,0,0,0,0,0,0,1,70,4,0.5798343181654947,0.5798343181654947,0.0,10,4,3,40.0,13.0,725.5,759.25,40.75,64.4375
145,0,0,298,3.7,1,0,0,0,0,0,1,0,0,70,21,-0.8392353277309108,-1.1471225931249514,0.30788726539404054,10,4,3,472.0,162.0,776.5,779.5,1077.0,342.3125
145,0,0,392,3.7,0,0,0,1,0,0,0,0,1,70,26,-1.0322327827515132,-1.0322327827515132,0.0,10,4,3,756.0,338.0,857.75,796.4375,1228.5,432.5
145,0,0,620,3.7,0,1,0,0,0,1,0,0,0,70,25,-0.9052689619704655,-1.0441200816579739,0.1388511196875084,10,4,3,810.0,420.0,831.0,798.0625,1171.0,488.125
145,0,1,162,3.7,0,0,0,1,0,0,0,0,1,70,9,-0.9961974630298335,-0.9899737463248801,-0.006223716704953364,10,4,3,68.0,109.0,807.25,816.625,1042.75,498.1875
145,0,1,134,3.7,0,1,0,0,0,1,0,0,0,70,7,-0.9899737463248801,-0.9961974630298335,0.006223716704953364,10,4,3,150.0,136.0,810.25,832.6875,98.25,115.0625
145,0,1,94,3.7,0,0,0,1,0,0,1,0,0,70,5,-0.9899737463248801,-0.9899737463248801,0.0,10,4,3,42.0,95.0,830.5,853.9375,175.75,239.75
145,0,0,148,3.7,0,0,0,1,0,0,0,0,1,70,30,1.3103119478258654,1.304088231120912,0.006223716704953253,10,4,3,150.0,148.0,847.0,804.9375,94.75,108.9375
145,0,0,216,3.7,0,0,0,1,0,0,0,1,0,70,35,1.304088231120912,1.3103119478258654,-0.006223716704953253,10,4,3,80.0,177.0,972.0,794.875,94.5,104.75
145,0,0,270,3.7,0,1,0,0,0,1,0,0,0,70,36,1.2978645144159588,1.2978645144159588,0.0,10,4,3,188.0,283.0,1033.25,811.0625,74.5,105.6875
145,0,0,53,3.7,0,1,0,0,1,0,0,0,0,70,22,2.324342110563909,2.324342110563909,0.0,10,4,3,514.0,163.0,959.0,820.4375,27.75,27.5
145,0,0,28,3.7,0,1,0,0,1,0,0,0,0,70,19,2.330565827268862,2.330565827268862,0.0,10,4,3,13.0,431.0,945.75,838.125,21.25,22.5625
145,0,1,28,3.7,0,1,0,0,1,0,0,0,0,70,16,2.324342110563909,2.324342110563909,0.0,10,4,3,80.0,188.0,780.5,821.3125,30.0,37.375
